frequency,numerology,rb,rep,runnumber
700MHz,0,15,0,0
700MHz,0,15,1,1
700MHz,0,15,2,2
700MHz,0,15,3,3
700MHz,0,15,4,4
700MHz,0,15,5,5
700MHz,0,15,6,6
700MHz,0,15,7,7
700MHz,0,15,8,8
700MHz,0,15,9,9
700MHz,0,15,10,10
700MHz,0,15,11,11
700MHz,0,15,12,12
700MHz,0,15,13,13
700MHz,0,15,14,14
700MHz,0,15,15,15
700MHz,0,15,16,16
700MHz,0,15,17,17
700MHz,0,15,18,18
700MHz,0,15,19,19
700MHz,0,15,20,20
700MHz,0,15,21,21
700MHz,0,15,22,22
700MHz,0,15,23,23
700MHz,0,15,24,24
700MHz,0,15,25,25
700MHz,0,15,26,26
700MHz,0,15,27,27
700MHz,0,15,28,28
700MHz,0,15,29,29
700MHz,0,15,30,30
700MHz,0,15,31,31
700MHz,0,15,32,32
700MHz,0,15,33,33
700MHz,0,15,34,34
700MHz,0,15,35,35
700MHz,0,15,36,36
700MHz,0,15,37,37
700MHz,0,15,38,38
700MHz,0,15,39,39
700MHz,0,15,40,40
700MHz,0,15,41,41
700MHz,0,15,42,42
700MHz,0,15,43,43
700MHz,0,15,44,44
700MHz,0,15,45,45
700MHz,0,15,46,46
700MHz,0,15,47,47
700MHz,0,15,48,48
700MHz,0,15,49,49
700MHz,0,15,50,50
700MHz,0,15,51,51
700MHz,0,15,52,52
700MHz,0,15,53,53
700MHz,0,15,54,54
700MHz,0,15,55,55
700MHz,0,15,56,56
700MHz,0,15,57,57
700MHz,0,15,58,58
700MHz,0,15,59,59
700MHz,0,15,60,60
700MHz,0,15,61,61
700MHz,0,15,62,62
700MHz,0,15,63,63
700MHz,0,15,64,64
700MHz,0,15,65,65
700MHz,0,15,66,66
700MHz,0,15,67,67
700MHz,0,15,68,68
700MHz,0,15,69,69
700MHz,0,15,70,70
700MHz,0,15,71,71
700MHz,0,15,72,72
700MHz,0,15,73,73
700MHz,0,15,74,74
700MHz,0,15,75,75
700MHz,0,15,76,76
700MHz,0,15,77,77
700MHz,0,15,78,78
700MHz,0,15,79,79
700MHz,0,15,80,80
